strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,workers,seed,strategy_label,pod_node_counts,mean_decode_gain_vs_static_pct,p95_decode_gain_vs_static_pct,mean_barrier_gain_vs_static_pct,p95_barrier_gain_vs_static_pct,mean_decode_gain_vs_speed_pct,mean_barrier_gain_vs_speed_pct,case,static_barrier_latency,barrier_gain_vs_static_pct,mean_worker_recoveries,mean_reissued_rows
guarded_system_portfolio,0.0082941999999093,0.0088060292498539,0.0127898145000623,0.0132949395000423,0.0287470172236096,0.0497651999994559,0.0767388870003742,1.0,0.0011082440001549,0.0003162090001751,0.0013343461665347,1.0,8.0,8.0,0.0,0.0,0.1368658806049083,0.4094207341088809,0.2689716190493535,0.0007887278334995,0.0044252563332823,0.019968,0.0,0.0,24,7,Guarded portfolio,9s:24,13.686588060490887,40.94207341088829,26.8971619049354,39.39371857734261,3.4608444957655604,2.078192729807437,baseline,0.0174956469999566,26.8971619049354,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.0095593731667425,0.0149355852501003,0.0174644220000269,0.0221736915001429,0.0287470172236096,0.0573562390004553,0.1047865320001619,1.0,0.0008090151666237,0.0004502813333147,0.0052597403334857,2.876116071428571,10.666666666666666,20.166666666666668,27.83333333333333,0.6666666666666666,0.0052059101136195,-0.0016599675506121,0.0017847296490245,0.000666679666665,0.0055833631667307,0.050336,0.0,0.0,24,7,Guarded deadline-aware,9s:24,0.52059101136241,-0.1659967550615887,0.1784729649025202,-1.0809404008623749,-11.264957762924928,-33.711694189436024,baseline,0.0174956469999566,0.1784729649025202,0.0,0.0
speed_aware_uncoded,0.0083851196667789,0.0090264424998167,0.0320707253335967,0.0326585557501175,0.0287470172236096,0.0503107180006736,0.1924243520015807,1.0,5.6174833389377454e-05,0.0003596251667659,0.0020120788332557,1.0,8.0,8.0,0.0,0.0,-0.0421630878967102,0.2122386163155301,0.0277523242013587,0.0007780376667293,0.0236059146667078,0.019968,0.0,0.0,24,31,Speed-aware uncoded,10s:24,-4.2163087896711575,21.22386163155324,2.7752324201360064,9.766636006533487,0.0,0.0,cancel_ack_20ms,0.0329861681667201,2.7752324201360064,0.0,0.0
sparse_flexible_static,0.0080458805000489,0.011458346000154,0.0329861681667201,0.036193437000179,0.0287470172236096,0.0482752830002937,0.1979170090003208,1.0,0.0002171339999677,0.0003774033334593,0.0055136280004717,2.629154265873016,10.0,19.33333333333333,28.666666666666668,0.3333333333333333,0.0,0.0,0.0,0.0005996351667363,0.0248062893333553,0.048256,0.0,0.0,24,31,Static sparse-flex,10s:24,0.0,0.0,0.0,0.0,4.045728388040006,-2.8544500431500937,cancel_ack_20ms,0.0329861681667201,0.0,0.0,0.0
rank_aware_sparse_flexible,0.0077755343333289,0.0093732919999638,0.0326568239999384,0.0340987577498026,0.0287470172236096,0.0466532059999735,0.1959409439996307,1.0,4.2077499983861344e-05,0.0003985668332309,0.005034377832923,2.240451388888889,9.0,18.33333333333333,29.666666666666668,0.0,0.0336005694738291,0.1819681479475466,0.0099843111548182,0.0006467159998919,0.0247456938333622,0.04576,0.0,0.0,24,31,Rank-aware,10s:24,3.360056947382664,18.19681479475464,0.9984311154818483,5.787456025151841,7.269846557648099,-1.82751921026155,cancel_ack_20ms,0.0329861681667201,0.9984311154818483,0.0,0.0
system_portfolio,0.008168949166702,0.0084405262498421,0.0318505391664984,0.0321355044999336,0.0287470172236096,0.0490136950002124,0.1911032349989909,1.0,0.0007322929999797,0.0002756584998072,0.0014818093331238,1.0,8.0,8.0,0.0,0.0,-0.0152958606149291,0.2633730688767234,0.0344274301422918,0.0007612039999761,0.023605785000124,0.019968,0.0,0.0,24,31,Portfolio,10s:24,-1.5295860614926056,26.337306887672444,3.4427430142293347,11.211790967034526,2.5780252240567094,0.6865643505344569,cancel_ack_20ms,0.0329861681667201,3.4427430142293347,0.0,0.0
guarded_system_portfolio,0.008308621666553,0.0088649992501359,0.031905978666676,0.0324641970000811,0.0287470172236096,0.0498517299993181,0.1914358720000564,1.0,0.0010858770001505,0.0003063323332147,0.0015575245001855,1.0,8.0,8.0,0.0,0.0,-0.0326553652521288,0.2263281934393701,0.0327467408334466,0.0009410730000733,0.0235183941667097,0.019968,0.0,0.0,24,31,Guarded portfolio,10s:24,-3.265536525213169,22.63281934393712,3.2746740833447485,10.303635988147388,0.9123066010492009,0.5136979759797138,cancel_ack_20ms,0.0329861681667201,3.2746740833447485,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.0081323553334489,0.0113731120001148,0.0330756731666497,0.036111419499889,0.0287470172236096,0.0487941320006939,0.1984540389998983,1.0,0.0008037845001733,0.0004168353328471,0.0050876160002341,2.567801339285714,9.833333333333334,18.83333333333333,29.166666666666668,0.3333333333333333,-0.0107477153556421,0.0074385954166587,-0.0027134100413603,0.000788479999907,0.0247978443333825,0.047008,0.0,0.0,24,31,Guarded deadline-aware,10s:24,-1.0747715355637468,0.7438595416655599,-0.2713410041361021,0.22660876415134318,3.0144391895971347,-3.133536340695843,cancel_ack_20ms,0.0329861681667201,-0.2713410041361021,0.0,0.0
speed_aware_uncoded,0.0087028221666211,0.0092576485000108,0.0323209343332564,0.0329525487500177,0.0287470172236096,0.0522169329997268,0.1939256059995386,1.0,5.670549997679094e-05,0.0003750605001187,0.0019487948329697,1.0,8.0,8.0,0.0,0.0,0.0894010290641387,0.3721567532658485,0.0613243717452117,0.0008630793332334,0.0235411791666895,0.019968,0.0,0.0,24,7,Speed-aware uncoded,10s:24,8.940102906413697,37.215675326584964,6.132437174521244,16.233637176368372,0.0,0.0,cancel_ack_20ms,0.0344324848332841,6.132437174521244,0.0,0.0
sparse_flexible_static,0.0095572501665325,0.0147451589997444,0.0344324848332841,0.0393386410000857,0.0287470172236096,0.0573435009991953,0.2065949089997047,1.0,0.0002197783333789,0.0004566744995978,0.0054209529999601,2.8570808531746037,10.666666666666666,19.166666666666668,28.83333333333333,0.5,0.0,0.0,0.0,0.0006257241667905,0.024744318000027,0.04784,0.0,0.0,24,7,Static sparse-flex,10s:24,0.0,0.0,0.0,0.0,-9.817826718193581,-6.5330738222348925,cancel_ack_20ms,0.0344324848332841,0.0,0.0,0.0
rank_aware_sparse_flexible,0.0078166579998348,0.0081867094996823,0.03266458149983,0.0330149524997978,0.0287470172236096,0.0468999479990088,0.1959874889989805,1.0,3.742716664116112e-05,0.0002991016667692,0.0046414345002479,1.857700892857143,7.333333333333333,16.833333333333332,31.166666666666668,0.1666666666666666,0.182122696002343,0.4447866245576444,0.0513440532106208,0.0006446243332902,0.0247185033334365,0.042016,0.0,0.0,24,7,Rank-aware,10s:24,18.212269600233874,44.47866245576455,5.134405321062273,16.075004981168835,10.182491952841504,-1.0632340112148655,cancel_ack_20ms,0.0344324848332841,5.134405321062273,0.0,0.0
system_portfolio,0.0083224323332918,0.008954556249705,0.0319832424999428,0.0325098774997059,0.0287470172236096,0.049934593999751,0.1918994549996568,1.0,0.000741776166554,0.0003011803331294,0.0015400771667373,1.0,8.0,8.0,0.0,0.0,0.1292022089747929,0.392712126748836,0.0711317334546172,0.0009096320000783,0.0235815383332465,0.019968,0.0,0.0,24,7,Portfolio,10s:24,12.92022089747922,39.271212674883856,7.113173345461688,17.35892071199136,4.3708790786079845,1.0448083889893434,cancel_ack_20ms,0.0344324848332841,7.113173345461688,0.0,0.0
guarded_system_portfolio,0.0083174776665752,0.0087913980001985,0.0320290206666413,0.0325925275001282,0.0287470172236096,0.0499048659994514,0.1921741239998482,1.0,0.001095735166776,0.0003020291668084,0.0016470226665508,1.0,8.0,8.0,0.0,0.0,0.1297206286698178,0.4037773346254923,0.069802228281807,0.0008388796666167,0.023634547500175,0.019968,0.0,0.0,24,7,Guarded portfolio,10s:24,12.9720628669816,40.37773346254934,6.980222828180827,17.14882194314442,4.427810802843408,0.9031721162674798,cancel_ack_20ms,0.0344324848332841,6.980222828180827,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.0100146931668708,0.0157980065000629,0.0347965185001915,0.040279347750129,0.0287470172236096,0.0600881590012249,0.2087791110011494,1.0,0.0008191181667219,0.0005172164996262,0.0057603839998895,2.981770833333333,11.0,19.666666666666668,28.33333333333333,0.6666666666666666,-0.0478634536469639,-0.0714029262306812,-0.0105723902492088,0.0008134433332998,0.0246422215000166,0.049088,0.0,0.0,24,7,Guarded deadline-aware,10s:24,-4.786345364696749,-7.140292623068707,-1.0572390249207475,-2.3913046463431424,-15.074087176930549,-7.659383053131189,cancel_ack_20ms,0.0344324848332841,-1.0572390249207475,0.0,0.0
speed_aware_uncoded,0.0081676175000969,0.0088022345001945,0.0112429445001301,0.0135193027502964,0.0287470172236096,0.0490057050005816,0.0674576670007809,0.6666666666666666,4.849766673942213e-05,0.0003269650001129,0.0017309208333244,0.9584573412698412,7.666666666666667,7.666666666666667,0.3333333333333333,0.0,0.0084791666991175,0.2371076237335818,0.2917897599744725,0.0008430086666824,0.0030265291665424,0.019136,0.0,1.0,24,31,Speed-aware uncoded,10s:24,0.8479166699120718,23.71076237335833,29.178975997447274,29.69358159593697,0.0,0.0,close_connection,0.0158751509999698,29.178975997447274,0.0,0.0
sparse_flexible_static,0.0082374643333575,0.0115379767501053,0.0158751509999698,0.0192291159999058,0.0287470172236096,0.0494247860001451,0.0952509059998192,1.0,0.0002074819999506,0.0003813368336219,0.0051040193328996,2.612909226190476,9.833333333333334,19.166666666666668,28.83333333333333,0.5,0.0,0.0,0.0,0.000675502666733,0.0054707526666485,0.04784,0.0,1.0,24,31,Static sparse-flex,10s:24,0.0,0.0,0.0,0.0,-0.8551677800750451,-41.20100832825508,close_connection,0.0158751509999698,0.0,0.0,0.0
rank_aware_sparse_flexible,0.0077304251666798,0.0091857230000869,0.0152805775000312,0.0168295847499848,0.0287470172236096,0.0463825510000788,0.0916834650001874,1.0,3.5790333110223095e-05,0.0003477306668173,0.0044987204997444,2.245938740079365,8.833333333333334,17.833333333333332,30.166666666666668,0.3333333333333333,0.0615528208874257,0.2038705572878694,0.0374530925683644,0.0006139443335086,0.0054454498334356,0.044512,0.0,1.0,24,31,Rank-aware,10s:24,6.15528208874242,20.387055728786514,3.7453092568362316,12.478635262966597,5.35275229786303,-35.91259389259085,close_connection,0.0158751509999698,3.7453092568362316,0.0,0.0
system_portfolio,0.0079472576665769,0.0084559672498016,0.0109679960000145,0.0130955900000344,0.0287470172236096,0.0476835459994617,0.0658079760000873,0.6666666666666666,0.0007183969999762,0.0002550953334624,0.0012226060002073,0.9584573412698412,7.666666666666667,7.666666666666667,0.3333333333333333,0.0,0.0352300969128768,0.2671187130166073,0.3091091857938626,0.0006039134999961,0.0029732169999382,0.019136,0.0,1.0,24,31,Portfolio,10s:24,3.5230096912882645,26.71187130166103,30.91091857938633,31.897077327431205,2.6979695549820377,2.44552038936436,close_connection,0.0158751509999698,30.91091857938633,0.0,0.0
guarded_system_portfolio,0.0077806721665941,0.0082259222499487,0.0106058183332606,0.0125180777502009,0.0287470172236096,0.0466840329995648,0.0636349099995641,0.6666666666666666,0.0010357160000846,0.0002577553335261,0.0011840481665027,0.9584573412698412,7.666666666666667,7.666666666666667,0.3333333333333333,0.0,0.0554530069300097,0.2870567840350643,0.3319233100031102,0.0007988911665961,0.002779971833282,0.019136,0.0,1.0,24,31,Guarded portfolio,10s:24,5.54530069300119,28.705678403506674,33.19233100031127,34.900399216156245,4.7375545377609685,5.666897731836426,close_connection,0.0158751509999698,33.19233100031127,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.008501661833255,0.0123001787497969,0.0157463754999298,0.0192797132500572,0.0287470172236096,0.0510099709995301,0.0944782529995791,1.0,0.0007726495002013,0.0004218851667398,0.0047531808327979,2.71648685515873,10.166666666666666,18.666666666666668,29.33333333333333,0.5,-0.0320726729981278,-0.0660602821620878,0.008111765364642,0.0006724963333605,0.0054130640000948,0.046592,0.0,1.0,24,31,Guarded deadline-aware,10s:24,-3.2072672998125977,-6.606028216209092,0.8111765364640946,-0.26312832140411646,-4.0898625964565225,-40.05561887944556,close_connection,0.0158751509999698,0.8111765364640946,0.0,0.0
speed_aware_uncoded,0.0084897168333858,0.0089082667500406,0.0114886611666709,0.0131385662499496,0.0287470172236096,0.0509383010003148,0.0689319670000259,0.6666666666666666,5.025383340277282e-05,0.0003370145000947,0.0017987299997912,0.9595114087301588,7.666666666666667,7.666666666666667,0.3333333333333333,0.0,0.1272591467816825,0.4070545384267798,0.3412631500117659,0.0007778186666958,0.0029514266665652,0.019136,0.0,1.0,24,7,Speed-aware uncoded,10s:24,12.725914678168,40.70545384267818,34.126315001176856,40.24442107514608,0.0,0.0,close_connection,0.0174404409998866,34.126315001176856,0.0,0.0
sparse_flexible_static,0.009727649166507,0.0150237539999125,0.0174404409998866,0.021987179249777,0.0287470172236096,0.0583658949990422,0.1046426459993199,1.0,0.0002056246667052,0.0005012438332414,0.005292773832707,2.963107638888889,11.0,20.0,28.0,0.6666666666666666,0.0,0.0,0.0,0.0007423993334517,0.0055205636668536,0.04992,0.0,1.0,24,7,Static sparse-flex,10s:24,0.0,0.0,0.0,0.0,-14.581550332197587,-51.80568690181296,close_connection,0.0174404409998866,0.0,0.0,0.0
rank_aware_sparse_flexible,0.0081326798334278,0.0083940284999926,0.0159615853334192,0.016766442750054,0.0287470172236096,0.0487960790005672,0.0957695120005155,1.0,3.3733999998730724e-05,0.0003069631669253,0.0044383053330723,1.9870411706349207,7.666666666666667,18.0,30.0,0.5,0.1639624647001813,0.4412828844214648,0.0847946256907731,0.0006896643334736,0.005556606666687,0.044928,0.0,1.0,24,7,Rank-aware,10s:24,16.396246470018635,44.128288442146435,8.479462569077327,23.74445780613695,4.205523069437986,-38.93338050324301,close_connection,0.0174404409998866,8.479462569077327,0.0,0.0
system_portfolio,0.0082516195000152,0.0085990110000011,0.0112963378332248,0.0129961539997793,0.0287470172236096,0.0495097170000917,0.0677780269993491,0.6666666666666666,0.000729541666639,0.0003253369998977,0.0012796276666904,0.9595114087301588,7.666666666666667,7.666666666666667,0.3333333333333333,0.0,0.1517354955166159,0.4276389908906103,0.3522905852381679,0.0007018875000236,0.0029992779999095,0.019136,0.0,1.0,24,7,Portfolio,10s:24,15.173549551662267,42.76389908906136,35.22905852381685,40.89212694297241,2.8045379845212555,1.6740273793088989,close_connection,0.0174404409998866,35.22905852381685,0.0,0.0
guarded_system_portfolio,0.0080717586665741,0.0086111244997937,0.0110039976667242,0.013097632750032,0.0287470172236096,0.048430551999445,0.0660239860003457,0.6666666666666666,0.0010916994999661,0.0002941968332379,0.0012798716666111,0.9595114087301588,7.666666666666667,7.666666666666667,0.3333333333333333,0.0,0.1702251460336594,0.426832701078314,0.3690527856035402,0.0007909903332195,0.002883232333185,0.019136,0.0,1.0,24,7,Guarded portfolio,10s:24,17.022514603366368,42.68327010783156,36.90527856035435,40.43059093100885,4.923110805864331,4.218624719760469,close_connection,0.0174404409998866,36.90527856035435,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.0097818654999173,0.0152610472501919,0.0175508154999685,0.0220625915001164,0.0287470172236096,0.0586911929995039,0.1053048929998112,1.0,0.0007920998332338,0.0004791495000517,0.0052580505000605,2.9000186011904763,10.666666666666666,20.0,28.0,0.6666666666666666,-0.0055734260644355,-0.015794537788679,-0.0063286530473974,0.0005960281666072,0.0056508671666506,0.04992,0.0,1.0,24,7,Guarded deadline-aware,10s:24,-0.557342606443594,-1.5794537788676597,-0.6328653047398316,-0.3429828332352535,-15.220162131322535,-52.76641242483652,close_connection,0.0174404409998866,-0.6328653047398316,0.0,0.0
speed_aware_uncoded,0.0081941378333946,0.0088877787502497,0.0125408645000485,0.0132690632502772,0.0287470172236096,0.0491648270003679,0.0752451870002914,1.0,5.251149991636339e-05,0.000359470166965,0.0019221430000773,1.0,8.0,8.0,0.0,0.0,-0.0103197233221159,0.2146563415975463,0.2083303680988689,0.0007360648333663,0.0042765121666737,0.019968,0.0,0.0,24,31,Speed-aware uncoded,9s:24,-1.0319723322116654,21.465634159754632,20.833036809887073,31.208586632759218,0.0,0.0,cpu_hog,0.0158410326665337,20.833036809887073,0.0,0.0
sparse_flexible_static,0.0081104403331361,0.0113170567498173,0.0158410326665337,0.0192888364997543,0.0287470172236096,0.0486626419988169,0.0950461959992026,1.0,0.0002099906666899,0.0004060058330045,0.0053536304998639,2.63023933531746,10.166666666666666,20.166666666666668,27.83333333333333,0.1666666666666666,0.0,0.0,0.0,0.0006337443332237,0.0056108340000567,0.050336,0.0,0.0,24,31,Static sparse-flex,9s:24,0.0,0.0,0.0,0.0,1.0214314423342654,-26.31531635217364,cpu_hog,0.0158410326665337,0.0,0.0,0.0
rank_aware_sparse_flexible,0.0076896008333733,0.0091243837500769,0.0153008829999331,0.0168682924997938,0.0287470172236096,0.04613760500024,0.0918052979995991,1.0,3.613516666215825e-05,0.0003816586668866,0.0046721074998761,2.388299851190476,9.5,18.33333333333333,29.666666666666668,0.1666666666666666,0.0518886130070447,0.1937494039495515,0.0340981347599714,0.0006402338332615,0.0055179176667176,0.04576,0.0,0.0,24,31,Rank-aware,9s:24,5.18886130070416,19.374940394955587,3.4098134759973044,12.548937308848739,6.157292082213919,-22.008199672948592,cpu_hog,0.0158410326665337,3.4098134759973044,0.0,0.0
system_portfolio,0.0078380971666926,0.0082127467499049,0.0122397651666688,0.012697835999802,0.0287470172236096,0.0470285830001557,0.0734385910000128,1.0,0.00073503349995,0.0002790850000261,0.0013183045001217,1.0,8.0,8.0,0.0,0.0,0.0335793317325624,0.2743036523133556,0.2273379252271291,0.0008806689999498,0.0043275556666534,0.019968,0.0,0.0,24,31,Portfolio,9s:24,3.3579331732558684,27.430365231335564,22.733792522712616,34.17002627419367,4.345065630345926,2.4009455917375973,cpu_hog,0.0158410326665337,22.733792522712616,0.0,0.0
guarded_system_portfolio,0.0080595329999747,0.0086685552498693,0.0124003555000247,0.0130828125001016,0.0287470172236096,0.0483571979998487,0.0744021330001487,1.0,0.0010661486665715,0.0002887428335422,0.0013273561667119,1.0,8.0,8.0,0.0,0.0,0.0062767656342145,0.2340274117641719,0.2172003075139066,0.00085559433334,0.0042699345000679,0.019968,0.0,0.0,24,31,Guarded portfolio,9s:24,0.6276765634217547,23.402741176417234,21.72003075139092,32.17417494171695,1.6426967199810671,1.1204092032351975,cpu_hog,0.0158410326665337,21.72003075139092,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.0081281040000552,0.0111875682500794,0.0157577214999946,0.0190687292498523,0.0287470172236096,0.0487686240003313,0.0945463289999679,1.0,0.0007869104999069,0.0003717854997375,0.0053317051673881,2.547247023809524,9.833333333333334,19.5,28.5,0.1666666666666666,-0.0021778924686607,0.0114418883460938,0.0052592004759332,0.0007013266667096,0.0054581303332573,0.048672,0.0,0.0,24,31,Guarded deadline-aware,9s:24,-0.21778924686656412,1.1441888346101083,0.5259200475932799,1.1411121137597011,0.8058667633132193,-25.650998780296685,cpu_hog,0.0158410326665337,0.5259200475932799,0.0,0.0
speed_aware_uncoded,0.0084112684999884,0.0089208827498623,0.0128385716667101,0.0132734707500503,0.0287470172236096,0.0504676109999309,0.077031430000261,1.0,5.0543000043035136e-05,0.000406753333209,0.0019181013331793,1.0,8.0,8.0,0.0,0.0,0.1158960773721599,0.3971633463090092,0.263818082586012,0.0007335634999587,0.00435160483327,0.019968,0.0,0.0,24,7,Speed-aware uncoded,10s:22;9s:2,11.589607737216696,39.716334630901,26.38180825860145,39.367941081956985,0.0,0.0,cpu_hog,0.0174394009999711,26.38180825860145,0.0,0.0
sparse_flexible_static,0.0095138911667618,0.0147981757500019,0.0174394009999711,0.0218918357497841,0.0287470172236096,0.0570833470005709,0.1046364059998268,1.0,0.0002177301666961,0.0004503439997733,0.0053133086667003,2.89586433531746,10.833333333333334,20.166666666666668,27.83333333333333,0.5,0.0,0.0,0.0,0.0005977280000024,0.0056870691666972,0.050336,0.0,0.0,24,7,Static sparse-flex,10s:22;9s:2,0.0,0.0,0.0,0.0,-13.108874919103132,-35.83599058134142,cpu_hog,0.0174394009999711,0.0,0.0,0.0
