external_mode,n_workers,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,p95_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,mean_network_response_mb,method,source,artifact,uses_first_decode_features,notes,gain_vs_original_percent
k3s,16,sailor_style_heterogeneity_aware,9.374075156255609,10.206666849990093,6.379743140620018,7.1991185499427095,1.0,0.0,1.0,0.6311710156161141,2.933827375002761,0.019968,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,35.269711920706676
k3s,24,speed_aware_uncoded,12.632877062490117,13.85574904996922,8.179590124981877,9.232825949959476,1.0,0.0,1.0,0.825681781250811,4.380895218776658,0.019968,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,19.67432615264012
k3s,24,speculative_replication,13.765117656266268,15.07654624996343,7.052434046894212,8.025110349888081,1.4229852585565474,4.921875,1.0,0.7453971719008735,5.0452602656285235,0.040755,speculative_replication,speculative_replication,speculative_replication,speculative_replication,speculative_replication,12.475016905623901
k3s,24,sparse_flexible_static,15.938139171883085,17.87824035010316,8.2133417656109,10.571599349896031,2.408191499255952,8.84375,1.0,0.655224109376411,5.650388765637564,0.045396,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name,-1.3420587029885653
k3s,24,original_sfcl_static,15.72707262499402,17.58110995011744,8.12287453125644,10.940899350032346,2.396818615141369,8.921875,1.0,0.6694766562453421,5.637752156239579,0.045552,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,0.0
k3s,24,worker_aware_sparse_flexible,16.057638953125014,17.837132900001432,8.35535685939344,10.475570700077654,2.5737420944940474,8.734375,1.0,0.6342864843737531,5.649441515608044,0.046683,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,-2.1018935692179985
k3s,24,rank_aware_sparse_flexible,17.668009875006113,32.86166324993466,7.850151828119266,8.739779600000405,2.1817103794642856,10.28125,1.0,0.6634668593967266,7.7593879843824185,0.047151,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,-12.341376531367233
k3s,24,deadline_aware_sparse_flexible,15.575562109383108,16.90501359995546,7.847937468746076,8.861340449880094,2.2114955357142856,8.953125,1.0,0.6614997187667828,5.6884573125230435,0.044109,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,0.9633739172166493
k3s,24,system_portfolio,12.393050499987575,13.201268549960245,7.976497874995606,8.711584300124215,1.0,0.0,1.0,0.811094671895725,4.34426567187169,0.019968,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio,21.199254333625312
k3s,24,guarded_system_portfolio,12.416617796862488,13.22567319989499,8.001669453118822,8.85818880008169,1.0,0.0,1.0,0.8118025937342078,4.342432812482089,0.019968,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,21.049402562498763
