external_mode,n_workers,seed,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,method,source,artifact,uses_first_decode_features,notes
k3s,24,43,speed_aware_uncoded,12.645384624761363,13.78682834938444,8.25464174988605,1.0,0.0,1.0,0.794692250110475,4.324338374999525,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,24,43,sparse_flexible_static,15.603851875198362,16.873730150200508,7.733781375122762,2.267671130952381,9.375,1.0,0.514236625008325,5.701179125139726,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,24,43,system_portfolio,12.368721375082663,12.66060120024113,8.007811875017925,1.0,0.0,1.0,0.6678311248151125,4.289981749934613,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,24,43,guarded_system_portfolio,12.379830999861875,12.861207799914968,8.006363249933164,1.0,0.0,1.0,0.7752209999124999,4.301849750049713,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,24,53,speed_aware_uncoded,12.400381750126112,13.20530245025106,7.924448000039712,1.0,0.0,1.0,0.8615381250364876,4.4049547499298,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,24,53,sparse_flexible_static,17.116139375161723,19.114893350206277,9.102015250050437,2.7616722470238093,7.625,1.0,0.6499011248024,5.598619000124875,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,24,53,system_portfolio,12.140644499936526,12.793359449688026,7.707286124968901,1.0,0.0,1.0,0.8357776248430501,4.35592625001385,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,24,53,guarded_system_portfolio,12.27316849997345,13.13799964977984,7.868713749871813,1.0,0.0,1.0,0.70425275009705,4.334513749881762,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,24,7,speed_aware_uncoded,12.939406124928574,13.487888899862769,8.452577999946662,1.0,0.0,1.0,0.6892696248996251,4.413947999864788,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,24,7,sparse_flexible_static,17.174202249861924,21.376216249836872,9.1645565000817,2.76904296875,8.75,1.0,0.5711216250574,5.627541750072788,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,24,7,system_portfolio,12.942581750280576,13.528274800364615,8.506068125257075,1.0,0.0,1.0,0.7487661248432624,4.361422499982788,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,24,7,guarded_system_portfolio,12.722843500114275,13.30370460018453,8.312077875416387,1.0,0.0,1.0,0.76684087514415,4.33371137478385,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,8,11,speed_aware_uncoded,29.22473262498211,52.78212860005166,27.567635375021325,1.0,0.0,1.0,0.452959125027475,1.6085417500448251,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,8,11,sparse_flexible_static,16.209183999990223,23.22040979991008,12.865646374962076,2.2891322544642856,0.75,1.0,0.4206385000883875,1.6587575000812125,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,8,11,system_portfolio,26.46213762506016,41.52806185011282,23.3909632499944,2.203892299107143,0.5,1.0,0.3776366249894125,1.6469939999409875,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,8,11,guarded_system_portfolio,16.141405750033712,23.307423550045268,12.860063499999752,2.381184895833333,0.375,1.0,0.44988612489756247,1.6100994999419,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,8,17,speed_aware_uncoded,24.3403736251366,37.48867295012128,22.72749362509781,1.0,0.0,1.0,0.4641459999561,1.5657102499630624,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,8,17,sparse_flexible_static,24.136669499966914,53.09671829986653,20.9789550000891,2.6240699404761907,0.25,1.0,0.46814425002136245,1.688857250144275,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,8,17,system_portfolio,24.68721999997566,37.7009801499298,21.741951624960585,1.6248139880952381,0.625,1.0,0.4625918750775375,1.7155646250443752,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,8,17,guarded_system_portfolio,20.372027999940148,36.328098750004706,17.319655999983695,2.003324962797619,0.5,1.0,0.48229625002697496,1.6633310000315125,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,8,23,speed_aware_uncoded,32.675553124988646,60.80045300009254,31.010340000022964,1.0,0.0,1.0,0.423824499819075,1.6131743750519876,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,8,23,sparse_flexible_static,23.400272874994187,54.16743494986342,20.185554499903397,2.5800316220238093,0.375,1.0,0.43736799995025,1.6849112499812249,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,8,23,system_portfolio,27.97451837500371,46.323239599996626,24.672906000034764,2.125139508928571,0.375,1.0,0.47863150007282496,1.6867287500303627,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,8,23,guarded_system_portfolio,22.497432875013573,49.593671000116,19.381376250066687,2.235002790178571,0.5,1.0,0.38623375002085003,1.6934383751276627,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,8,31,speed_aware_uncoded,26.870923500041435,46.743074599976325,25.222402750046022,1.0,0.0,1.0,0.39630324988588744,1.6014926250135875,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,8,31,sparse_flexible_static,16.964585500033948,29.217905199834572,13.437439250026225,2.406180245535714,0.375,1.0,0.5253683750083376,1.7046140000047125,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,8,31,system_portfolio,25.181233625005426,42.63581429988787,21.97124750006192,1.843656994047619,0.25,1.0,0.5120207500226126,1.61336987503085,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,8,31,guarded_system_portfolio,16.39240399998691,29.120966950085766,12.797954250004251,2.3129650297619047,0.125,1.0,0.4958418749651625,1.6609966249916,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,8,37,speed_aware_uncoded,31.18616475001084,56.83064320000985,29.5687858750284,1.0,0.0,1.0,0.4538458750288875,1.5693322499145748,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,8,37,sparse_flexible_static,24.169612499974786,46.62226525001637,21.01589099999041,2.452334449404762,1.0,1.0,0.4176389998633125,1.6857497500950125,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,8,37,system_portfolio,27.652973749979935,53.872264599954114,25.516098000025472,1.53125,0.0,1.0,0.46324512504721255,1.6025345000798,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,8,37,guarded_system_portfolio,22.919141374984463,43.015694449877515,20.063473624929824,1.9860956101190474,0.125,1.0,0.4497751249345625,1.645857999903875,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,8,43,speed_aware_uncoded,26.630736250012838,47.770767050110386,24.97440087500985,1.0,0.0,1.0,0.40066437497893753,1.6081884999720877,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,8,43,sparse_flexible_static,19.1789967500426,39.44306770029008,15.42350149998124,2.441150483630952,0.5,1.0,0.4570636251059375,1.647394749966175,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,8,43,system_portfolio,25.723430749962922,47.82922284982757,23.009542874944998,1.5935407366071428,0.375,1.0,0.43979637501928753,1.6064641249612877,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,8,43,guarded_system_portfolio,17.889744624994762,35.579963099962626,14.481827999929864,2.049502418154762,0.5,1.0,0.4707442499238251,1.6394212499335,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,8,53,speed_aware_uncoded,33.955549000040676,53.93076540005945,32.25203737508758,1.0,0.0,1.0,0.5484170000613126,1.6529103749576,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,8,53,sparse_flexible_static,34.43204599994939,91.77202054991079,30.954390250030826,2.7181222098214284,0.625,1.0,0.442423624974675,1.8050306250642751,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,8,53,system_portfolio,31.375762124866874,53.690344149731516,28.77965474988281,1.734584263392857,0.25,1.0,0.424214000076925,1.6310770001268375,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,8,53,guarded_system_portfolio,26.251344249999363,53.59847410004468,22.990869625061777,2.000883556547619,0.625,1.0,0.457251250054425,1.6333644999803625,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,8,7,speed_aware_uncoded,28.04392925008866,45.87472050009181,26.454874750015698,1.0,0.0,1.0,0.48849674993785,1.5406396250909498,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,8,7,sparse_flexible_static,23.488673750193772,48.254698050322915,19.90583062513445,2.799339657738095,0.125,1.0,0.4212701248888375,1.5929255000628126,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,8,7,system_portfolio,25.611315499986574,43.993853000029034,22.949400750064747,1.6558314732142856,0.25,1.0,0.4588541249290125,1.6192473750037875,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,8,7,guarded_system_portfolio,19.25931037493451,35.553790349990734,16.230745249856636,1.9997907366071428,0.25,1.0,0.49985300000792504,1.6045762500311376,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
