external_mode,n_workers,seed,strategy,actual_barrier_ms,no_straggler_barrier_ms,cancel_free_barrier_ms,fastest_safe_barrier_ms,removable_tail_fraction,dominant_bottleneck,method,source,artifact,uses_first_decode_features,notes
network_stress,24,11,original_sfcl_static,73.85022498783651,73.85022498783651,44.84393751772576,44.84393751772576,0.3833478644097188,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,24,11,rltune_style_selector,59.61915000807488,42.60223417508936,36.2609250150853,36.2609250150853,0.3940635964159706,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,24,11,sailor_style_heterogeneity_aware,59.5988125132862,30.030367976787858,37.24508752929971,37.24508752929971,0.37493390749216254,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,24,11,guarded_system_portfolio,59.50761251733634,29.752038881550583,38.383862513001,38.383862513001,0.3544478854665225,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,24,11,online_counter_guard_deadline_aware_sparse_flexible,59.167212501051786,59.167212501051786,35.23757499351623,35.23757499351623,0.404373163856362,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,24,17,original_sfcl_static,57.2007375012617,57.2007375012617,35.916587512474436,35.916587512474436,0.3669496330177101,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,24,17,rltune_style_selector,55.02125002385577,37.94154853426047,36.468212492763925,36.468212492763925,0.33266208220069227,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,24,17,sailor_style_heterogeneity_aware,45.98777501087165,30.204306826643485,30.233174984459662,30.233174984459662,0.33724365427827174,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,24,17,guarded_system_portfolio,40.266799987875814,28.936882001626362,26.945862482534626,26.945862482534626,0.3120960425250462,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,24,17,online_counter_guard_deadline_aware_sparse_flexible,49.67508751724379,49.67508751724379,30.476200001430588,30.476200001430588,0.3826099736599411,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,24,23,original_sfcl_static,50.992262491490635,50.992262491490635,32.87763749540307,32.87763749540307,0.34143457848108094,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,24,23,rltune_style_selector,44.22783746849741,35.07162807653467,27.645249967463215,27.645249967463215,0.3564251068144246,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,24,23,sailor_style_heterogeneity_aware,52.02272500901014,30.05346760238221,33.29560000565827,33.29560000565827,0.3622417303685891,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,24,23,guarded_system_portfolio,54.08583748794622,29.938289875526827,33.94871250202404,33.94871250202404,0.36755800370845654,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,24,23,online_counter_guard_deadline_aware_sparse_flexible,54.06451251474205,54.06451251474205,32.110087471664784,32.110087471664784,0.40358739474677535,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,24,31,original_sfcl_static,53.102037520147796,53.102037520147796,31.342350004706436,31.342350004706436,0.4109404349481501,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,24,31,rltune_style_selector,54.1264499770477,38.23370640916147,35.427949973381956,35.427949973381956,0.3418100375648256,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,24,31,sailor_style_heterogeneity_aware,56.649387523066196,31.43392257356648,35.95922503154716,35.95922503154716,0.3748164794197977,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,24,31,guarded_system_portfolio,57.81602501519952,30.301915376192955,37.90763751021576,37.90763751021576,0.3466531063295636,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,24,31,online_counter_guard_deadline_aware_sparse_flexible,55.88919998263004,55.88919998263004,35.64807501970781,35.64807501970781,0.3514319416893835,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,24,37,original_sfcl_static,55.7398124947212,55.7398124947212,33.751737501006446,33.751737501006446,0.39475440048545973,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,24,37,rltune_style_selector,54.4489749881904,38.75899118497437,33.21030002553006,33.21030002553006,0.39086055673739534,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,24,37,sailor_style_heterogeneity_aware,49.53719998593438,30.425985893096847,32.47028750774906,32.47028750774906,0.33825556823368097,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,24,37,guarded_system_portfolio,53.71143748925529,29.914242611022914,33.18804997252291,33.18804997252291,0.38075614987056583,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,24,37,online_counter_guard_deadline_aware_sparse_flexible,56.359087524469885,56.359087524469885,34.050325048155976,34.050325048155976,0.3932958979791118,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,24,43,original_sfcl_static,57.295000005979034,57.295000005979034,32.71417501673559,32.71417501673559,0.4336546259461384,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
