external_mode,n_workers,seed,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,method,source,artifact,uses_first_decode_features,notes
network_stress,16,23,original_sfcl_static,44.85468749771821,61.29495000350284,26.707650016760425,2.5478980654761902,7.375,1.0,4.0374375239479745,16.477537472383077,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,16,23,rltune_style_selector,48.72564997640432,61.52291998150752,26.620999982696887,1.1414620535714286,1.875,1.0,4.673712493968149,21.89827497932125,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,16,23,sailor_style_heterogeneity_aware,47.26377502083773,60.53906503948376,27.36691250174766,1.0,0.0,1.0,4.830487523577125,19.655187512398648,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,16,23,guarded_system_portfolio,43.2179125200491,55.92951001017351,24.492112497682623,1.0,0.0,1.0,5.0227625179104125,18.470499999239088,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,16,23,online_counter_guard_deadline_aware_sparse_flexible,51.94618747918862,63.509025005623634,30.5556249659275,2.4657738095238098,11.375,1.0,5.3728875063824875,20.149374991888124,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,16,31,original_sfcl_static,51.352524984395075,61.98094002320426,27.874637467903035,2.5458984375,9.125,1.0,4.2855624633375005,22.42936252150681,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,16,31,rltune_style_selector,49.69697498017919,58.30687495763413,27.086062487796838,1.1562965029761905,1.375,1.0,4.448137508006712,22.38727497751819,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,16,31,sailor_style_heterogeneity_aware,53.5516374802682,74.12526992848137,30.713125015608934,1.0,0.0,1.0,4.7531125019304,22.599062518565862,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,16,31,guarded_system_portfolio,66.93911248294165,103.06834494112985,35.67089998978184,1.0,0.0,1.0,4.690412490162938,31.052875012392125,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,16,31,online_counter_guard_deadline_aware_sparse_flexible,80.190875014523,106.52649505063886,39.888350002001914,2.5000697544642856,14.75,1.0,6.794049986638087,39.58333750779271,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
