seed,round,policy,predicted_ms,prefix_rows,gain_vs_static_pct,prefix_delta_vs_static
31,2,sampled-minset-512,9.982809811730933,11,0.7149240393208383,0
31,2,oracle-minset,8.20928060371328,9,18.353743716081183,-2
31,3,static,10.054693230717296,11,0.0,0
31,3,random,10.156528074281306,11,-1.0128090557044849,0
31,3,cost-only,8.637807460082767,9,14.09178518053552,-2
31,3,rho,10.156528074281306,11,-1.0128090557044849,0
31,3,rho*C,10.156528074281306,11,-1.0128090557044849,0
31,3,rho/C,10.156528074281306,11,-1.0128090557044849,0
31,3,sampled-minset-128,8.172967065212633,8,18.714903799908583,-3
31,3,sampled-minset-512,9.982809811730933,11,0.7149240393208383,0
31,3,oracle-minset,8.637807460082767,9,14.09178518053552,-2
31,4,static,12.485659676515697,7,0.0,0
31,4,random,51.28765378782067,10,-310.77247912088876,3
31,4,cost-only,32.13113046671682,9,-157.34427574661774,2
31,4,rho,80.81896175591554,13,-547.2942868043094,6
31,4,rho*C,80.81896175591554,13,-547.2942868043094,6
31,4,rho/C,80.81896175591554,13,-547.2942868043094,6
31,4,sampled-minset-128,53.019309842452564,10,-324.6416386166339,3
31,4,sampled-minset-512,58.95353746068664,11,-372.1699853118091,4
31,4,oracle-minset,12.485659676515697,7,0.0,0
31,5,static,27.332729848079865,9,0.0,0
31,5,random,12.699537006822599,8,53.53725340495126,-1
31,5,cost-only,27.332729848079865,9,0.0,0
31,5,rho,67.82434483094622,12,-148.14332563167272,3
31,5,rho*C,67.82434483094622,12,-148.14332563167272,3
31,5,rho/C,67.82434483094622,12,-148.14332563167272,3
31,5,sampled-minset-128,54.700876405355174,10,-100.1295761872023,1
31,5,sampled-minset-512,59.31269598217967,11,-117.00245936593271,2
31,5,oracle-minset,12.485659676515697,7,54.31974871916125,-2
31,6,static,33.56602255968234,10,0.0,0
31,6,random,18.61982004141666,8,44.52777355937976,-2
31,6,cost-only,28.225049657303433,9,15.911843272113469,-1
31,6,rho,69.60898444939338,12,-107.37930544384446,2
31,6,rho*C,69.60898444939338,12,-107.37930544384446,2
31,6,rho/C,69.60898444939338,12,-107.37930544384446,2
31,6,sampled-minset-128,33.56602255968234,10,0.0,0
31,6,sampled-minset-512,58.13885498568812,11,-73.20745966345538,1
31,6,oracle-minset,12.485659676515697,7,62.80268341500554,-3
31,7,static,159.24357098532226,15,0.0,0
31,7,random,28.81358400645004,9,81.90596717458324,-6
31,7,cost-only,27.994492374244114,9,82.42033119388887,-6
31,7,rho,69.14786988327474,12,56.57729259936767,-3
31,7,rho*C,69.14786988327474,12,56.57729259936767,-3
31,7,rho/C,69.14786988327474,12,56.57729259936767,-3
31,7,sampled-minset-128,53.36173298489319,10,66.49049462109109,-5
31,7,sampled-minset-512,64.73270076340418,11,59.349881214752024,-4
31,7,oracle-minset,11.320217055210538,7,92.8912564663261,-8
31,8,static,34.55450371841249,9,0.0,0
31,8,random,12.831743695041599,8,62.86520622721558,-1
31,8,cost-only,33.48443958862221,9,3.0967428689189678,0
31,8,rho,84.15969204496216,13,-143.5563616563168,4
31,8,rho*C,84.15969204496216,13,-143.5563616563168,4
31,8,rho/C,84.15969204496216,13,-143.5563616563168,4
31,8,sampled-minset-128,47.025165168045994,10,-36.08982942211515,1
31,8,sampled-minset-512,47.025165168045994,10,-36.08982942211515,1
31,8,oracle-minset,12.218012393523566,7,64.64133158129209,-2
31,9,static,46.16075014334659,10,0.0,0
31,9,random,45.06455404275483,9,2.374736322931627,-1
31,9,cost-only,45.06455404275483,9,2.374736322931627,-1
31,9,rho,113.27959298065399,13,-145.40240925218504,3
31,9,rho*C,113.27959298065399,13,-145.40240925218504,3
31,9,rho/C,113.27959298065399,13,-145.40240925218504,3
31,9,sampled-minset-128,47.725337144067645,10,-3.389431488575077,0
