external_mode,n_workers,seed,strategy,actual_barrier_ms,no_straggler_barrier_ms,cancel_free_barrier_ms,fastest_safe_barrier_ms,removable_tail_fraction,dominant_bottleneck,method,source,artifact,uses_first_decode_features,notes
tcp,8,11,rltune_style_selector,45.77284998958925,23.54717357084152,29.230449959868512,28.950706218893107,0.3495193633523214,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,8,11,sailor_style_heterogeneity_aware,46.629925025626974,27.98876250544704,35.54608752892809,35.54608752892809,0.23478407070091037,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,8,11,guarded_system_portfolio,36.930562506313386,18.369824064029636,23.447262545232636,23.093762531061607,0.34095571557572474,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,8,11,online_counter_guard_deadline_aware_sparse_flexible,38.96448751038401,18.82257516153909,24.563487488194337,23.95410624740173,0.3427619236162472,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,8,17,original_sfcl_static,46.703124971827435,23.37718842391036,30.29066241288085,29.974068711453498,0.37965669499673266,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,8,17,rltune_style_selector,53.91420000523789,28.933427807714857,35.92028748244037,35.92028748244037,0.3346833824977093,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,8,17,sailor_style_heterogeneity_aware,48.24844999529883,24.320750788865507,30.56007501436385,30.56007501436385,0.37718330002736417,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,8,17,guarded_system_portfolio,42.81940001237666,19.5492895396455,25.246137491194425,24.917862501751987,0.4179824035504963,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,8,17,online_counter_guard_deadline_aware_sparse_flexible,46.134637523209626,25.214165772558736,32.08681249816433,31.77043124014739,0.31753863472133814,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,8,23,original_sfcl_static,42.39656247955277,21.167968284862546,27.52142492681739,27.151256203069295,0.36617300363191785,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,8,23,rltune_style_selector,57.2473249631002,30.7251435673606,38.35657496529155,38.20363122213155,0.3308603771546419,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,8,23,sailor_style_heterogeneity_aware,51.21011249138969,27.461245004997153,34.781737485900436,34.781737485900436,0.34459641995154516,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,8,23,guarded_system_portfolio,46.93956248229366,24.087758591849674,31.017187473480536,30.546468718966857,0.36496320194231996,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,8,23,online_counter_guard_deadline_aware_sparse_flexible,42.47516251052725,23.74748798683865,30.834600009256974,30.308893765322825,0.30766590436256386,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,8,31,original_sfcl_static,40.02687505271745,20.141723150118164,25.799662544159187,25.338400024338565,0.36382758286655736,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,8,31,rltune_style_selector,49.34530000900845,29.566719222930217,36.73733749019437,36.73733749019437,0.2390612223218564,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,8,31,sailor_style_heterogeneity_aware,48.250400010147104,25.894626592526,32.610612543066864,32.610612543066864,0.36070028459223724,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,8,31,guarded_system_portfolio,29.619862485560535,15.016386390197974,19.113012487650828,18.833237496437444,0.33255893595918373,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,8,31,online_counter_guard_deadline_aware_sparse_flexible,35.784587482339646,17.48652687165298,22.89989999553651,22.2253875108435,0.36452376753311877,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,8,37,original_sfcl_static,43.724725022911976,23.65676953431827,29.518525014282126,29.414568773063273,0.32102451597224246,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,8,37,rltune_style_selector,53.3844624733319,29.326152637622688,36.644174964749176,36.466074961936016,0.3263084094600136,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,8,37,sailor_style_heterogeneity_aware,54.97581246891053,33.190075454331186,40.95581246656356,40.95581246656356,0.2593926621516105,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,8,37,guarded_system_portfolio,42.88550000637764,22.869018120581995,29.408750007860313,28.88984375749707,0.32732571157576584,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,8,37,online_counter_guard_deadline_aware_sparse_flexible,42.315487473388174,17.181968122531504,21.858374981093164,21.668462482921232,0.4855322308807449,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,8,43,original_sfcl_static,43.5835500102257,21.99225125077641,28.127074969233874,27.918274965486393,0.36372077307589296,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,8,43,rltune_style_selector,50.391362514346795,24.360480930772578,30.044962491956476,30.0139062383095,0.4174497514820264,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,8,43,sailor_style_heterogeneity_aware,51.45092496240974,29.800490751767924,37.03081248386291,37.03081248386291,0.271883799690135,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,8,43,guarded_system_portfolio,41.18871252285311,19.113234535870983,24.405987511272485,24.134518760547433,0.4290276731376594,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,8,43,online_counter_guard_deadline_aware_sparse_flexible,35.74775000743099,14.208389684426901,18.838849980966174,18.338337489694762,0.47474796791994955,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,8,53,original_sfcl_static,56.42162497679234,30.052945136958407,39.04316246917,38.51482496975215,0.37981729887187066,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,8,53,rltune_style_selector,59.78313746163617,33.30506234069613,42.19566252140784,42.19566252140784,0.32306882687843824,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,8,53,sailor_style_heterogeneity_aware,54.86038749222639,32.42598561282642,41.00303749146392,41.00303749146392,0.2648977891906495,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,8,53,guarded_system_portfolio,50.82852502528106,27.64754658910529,35.57652502786361,35.216775038861584,0.31061098178049373,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,8,53,online_counter_guard_deadline_aware_sparse_flexible,51.35159999190358,30.96817484874915,40.338674996746676,39.716281258733886,0.25399987671394514,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,8,7,original_sfcl_static,40.51614999480073,22.451728125633927,28.996912529691997,28.475531267758843,0.29711054172854157,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,8,7,rltune_style_selector,45.651100037503,26.439787031085828,33.05611251562359,32.90275626204666,0.2654089536587475,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,8,7,sailor_style_heterogeneity_aware,51.66726250899952,26.238165916220133,33.15692496835245,33.15692496835245,0.3888874523727734,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,8,7,guarded_system_portfolio,35.649150013341526,17.242763613467076,22.15928751684255,21.873781268368415,0.37714340350639525,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,8,7,online_counter_guard_deadline_aware_sparse_flexible,43.28337500919584,21.546931563352658,27.486362479976325,27.145443738845554,0.376079343328921,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
